Date,JPM_Close,Dividend,VIX_Close,Treasury_3M,Treasury_10Y,log_return,rolling_vol_21,annual_dividend,div_yield,yield_slope,rate_momentum,vix_jpm_corr,sentiment_score
2018-04-27,87.95237731933594,0.0,15.40999984741211,1.78,2.96,-0.006378244976222996,0.015330607033597832,1.12,0.012734164034401524,1.18,-0.040000000000000036,-0.27998160656690735,0.23957139035354572
2018-04-30,87.45391082763672,0.0,15.93000030517578,1.84,2.95,-0.005683579976499696,0.014865735810856456,1.12,0.01280674574070693,1.11,-0.009999999999999787,-0.19061557498529763,0.25947190602384224
2018-05-01,87.45391082763672,0.0,15.489999771118164,1.82,2.97,0.0,0.014201445902882455,1.12,0.01280674574070693,1.1500000000000001,0.020000000000000018,0.15281566443857683,0.24263300253400732
2018-05-02,86.76251983642578,0.0,15.970000267028809,1.81,2.97,-0.007937191897660784,0.013994175946382404,1.12,0.012908799814845707,1.1600000000000001,0.0,0.32940680598259886,0.2610027121140731
2018-05-03,86.21582794189453,0.0,15.899999618530272,1.8,2.94,-0.00632094966544305,0.013586186412393836,1.12,0.01299065411463459,1.14,-0.03000000000000025,0.3751014067968399,0.25832377408319707
2018-05-04,87.17255401611328,0.0,14.770000457763672,1.8,2.95,0.011035754220642102,0.013486093657878106,1.12,0.01284808059877396,1.1500000000000001,0.010000000000000231,0.39272997964621603,0.21507849290985284
2018-05-07,87.92827606201172,0.0,14.75,1.83,2.95,0.00863190354887947,0.012491330895891991,1.12,0.012737654485686905,1.12,0.0,0.5343956315496291,0.2143130716160894
2018-05-08,89.23064422607422,0.0,14.710000038146973,1.84,2.97,0.014703088324427188,0.01263590632485481,1.12,0.012551741721850342,1.1300000000000001,0.020000000000000018,0.5542958796594715,0.21278226552585858
2018-05-09,91.1762237548828,0.0,13.420000076293944,1.85,3.0,0.021569632925693586,0.012842293218777358,1.12,0.012283904222782865,1.15,0.029999999999999805,0.15464419945448946,0.16341372349429492
2018-05-10,91.8836898803711,0.0,13.229999542236328,1.86,2.97,0.007729378143271305,0.012295407407949422,1.12,0.012189323278790779,1.11,-0.029999999999999805,-0.11860693682825836,0.1561423671927266
2018-05-11,91.53800201416016,0.0,12.649999618530272,1.88,2.97,-0.0037693281741102737,0.01114586084906716,1.12,0.012235355539295533,1.0900000000000003,0.0,-0.4831375861191878,0.1339456606357318
2018-05-14,91.57018280029295,0.0,12.93000030517578,1.9,3.0,0.0003514947897794353,0.00917286531103514,1.12,0.012231055631314268,1.1,0.029999999999999805,-0.5783022288012677,0.14466133976464354
2018-05-15,90.87071228027344,0.0,14.630000114440918,1.89,3.08,-0.007667951277763046,0.009379985399966166,1.12,0.012325203268414723,1.1900000000000002,0.08000000000000007,-0.5870301923372504,0.20972065334539697
2018-05-16,91.1199188232422,0.0,13.420000076293944,1.88,3.09,0.0027386761309519283,0.009381459836776483,1.12,0.012291494707898256,1.21,0.009999999999999787,-0.6192092127991238,0.16341372349429492
2018-05-17,90.81443786621094,0.0,13.43000030517578,1.88,3.11,-0.003358147956984148,0.009197896206959672,1.12,0.012332840749947704,1.23,0.020000000000000018,-0.6387609352003363,0.16379643414117664
2018-05-18,89.34320831298828,0.0,13.420000076293944,1.87,3.06,-0.01633305375345164,0.008766276089970413,1.12,0.01253592770114547,1.19,-0.04999999999999982,-0.6420028160205992,0.16341372349429492
2018-05-21,90.16323852539062,0.0,13.079999923706056,1.9,3.06,0.009136562293931429,0.008986057194559503,1.12,0.012421914056299119,1.1600000000000001,0.0,-0.6871401253916415,0.15040185347868518
2018-05-22,90.85462951660156,0.0,13.220000267028809,1.9,3.06,0.00763896250454048,0.009041803426833929,1.12,0.012327385032100607,1.1600000000000001,0.0,-0.7156437573503299,0.15575969304314097
2018-05-23,90.43659210205078,0.0,12.579999923706056,1.88,3.01,-0.004611785962271842,0.009039138827698271,1.12,0.012384367588024168,1.13,-0.050000000000000266,-0.7802536939782984,0.13126675910215205
2018-05-24,89.42361450195312,0.0,12.529999732971191,1.87,2.98,-0.01126417377014458,0.009373045502047898,1.12,0.012524655889139192,1.1099999999999999,-0.029999999999999805,-0.8179752186779166,0.12935324236503945
2018-05-25,88.96533966064453,0.0,13.220000267028809,1.86,2.93,-0.005137939751975177,0.009453142040077613,1.12,0.012589172415596957,1.07,-0.04999999999999982,-0.8188684285085368,0.15575969304314097
2018-05-29,85.16265106201172,0.0,17.020000457763672,1.9,2.77,-0.043683881957428505,0.013428681653765283,1.12,0.013151305014970296,0.8700000000000001,-0.16000000000000014,-0.8563048619640004,0.30118641760425185
2018-05-30,87.10821533203125,0.0,14.9399995803833,1.9,2.84,0.022588230192517135,0.014375745219763175,1.12,0.012857570273146855,0.94,0.06999999999999984,-0.8528839810766097,0.22158439142036168
2018-05-31,86.03093719482422,0.0,15.43000030517578,1.89,2.83,-0.012444233711775735,0.014621955445205987,1.12,0.013018572580043698,0.9400000000000002,-0.009999999999999787,-0.8537992550823322,0.2403368116473091
2018-06-01,87.1484375,0.0,13.460000038146973,1.88,2.89,0.012905876559028804,0.01481801550334356,1.12,0.01285163603765128,1.0100000000000002,0.06000000000000005,-0.7942516387982395,0.1649445295845258
2018-06-04,87.1886215209961,0.0,12.739999771118164,1.91,2.94,0.00046099230918990097,0.014742240295487425,1.12,0.012845712897643304,1.03,0.04999999999999982,-0.6765460233279484,0.1373899834630752
2018-06-05,86.69818878173828,0.0,12.399999618530272,1.91,2.92,-0.005640842325311929,0.014596713932982683,1.12,0.012918378292995112,1.01,-0.020000000000000018,-0.5397947199000707,0.12437811344746524
2018-06-06,88.72416687011719,0.0,11.640000343322754,1.91,2.97,0.02309931553354152,0.015358875459118395,1.12,0.012623392695696562,1.0600000000000003,0.050000000000000266,-0.46645714461847365,0.09529279773308001
2018-06-07,89.0779037475586,0.0,12.130000114440918,1.9,2.93,0.003979001402206348,0.015035423926054201,1.12,0.012573263995681943,1.0300000000000002,-0.040000000000000036,-0.4564488339643645,0.1140451814627314
2018-06-08,89.32714080810547,0.0,12.18000030517578,1.89,2.93,0.002794060261158624,0.014219681617958724,1.12,0.012538182571028539,1.0400000000000003,0.0,-0.45965243592607646,0.11595869819984386
2018-06-11,89.1020278930664,0.0,12.350000381469728,1.91,2.96,-0.002523276167427231,0.014081191063266692,1.12,0.012569859816705187,1.05,0.029999999999999805,-0.4698413092360449,0.12246463320764894
2018-06-12,88.58749389648438,0.0,12.34000015258789,1.89,2.96,-0.005791398722159567,0.014104638361314497,1.12,0.01264286809274382,1.07,0.0,-0.44364094784085445,0.12208192256076715
2018-06-13,88.4106216430664,0.0,12.9399995803833,1.9,2.98,-0.0019985784792390677,0.01409803395136883,1.12,0.012668161123464241,1.08,0.020000000000000018,-0.44417983196060457,0.14504401391422922
2018-06-14,86.8509521484375,0.0,12.119999885559082,1.9,2.94,-0.017798660995081275,0.01448157493917438,1.12,0.01289565597491437,1.04,-0.040000000000000036,-0.47833457495120674,0.11366247081584968
2018-06-15,86.74644470214844,0.0,11.979999542236328,1.9,2.93,-0.0012040210372980444,0.01444046456485672,1.12,0.012911191966951716,1.0300000000000002,-0.009999999999999787,-0.45543966064234154,0.10830463125139381
2018-06-18,86.9715576171875,0.0,12.3100004196167,1.91,2.92,0.002591706536333664,0.014477856055392988,1.12,0.012877773270771723,1.01,-0.010000000000000231,-0.47047757318524935,0.12093382711741807
2018-06-19,86.46508026123047,0.0,13.350000381469728,1.91,2.89,-0.005840505234384438,0.014137667911811902,1.12,0.01295320604128543,0.9800000000000002,-0.029999999999999805,-0.48791600260834306,0.16073482196071517
2018-06-20,86.45702362060547,0.0,12.789999961853027,1.9,2.93,-9.318231099404904e-05,0.01393047944965976,1.12,0.01295441310719686,1.0300000000000002,0.040000000000000036,-0.49280577335442083,0.13930350020018772
2018-06-21,86.43289947509766,0.0,14.640000343322754,1.9,2.9,-0.0002790694244339992,0.01376272324894543,1.12,0.012958028792296681,1.0,-0.03000000000000025,-0.5896183491443707,0.2101033639922787
2018-06-22,85.0179443359375,0.0,13.770000457763672,1.89,2.9,-0.016506040248786515,0.014099960310859612,1.12,0.013173689492825935,1.01,0.0,-0.6048720738707055,0.1768083041567866
2018-06-25,84.24615478515625,0.0,17.329999923706055,1.9,2.87,-0.009119416385689517,0.014044325205215466,1.12,0.013294375308359337,0.9700000000000002,-0.029999999999999805,-0.7060080328372725,0.31305015567921657
2018-06-26,84.30240631103516,0.0,15.920000076293944,1.9,2.88,0.0006674815566687797,0.014053966413350846,1.12,0.013285504518907101,0.98,0.009999999999999787,-0.7620592191917381,0.2590891953769605
2018-06-27,83.00001525878906,0.0,17.90999984741211,1.89,2.83,-0.015569617577896098,0.010933713779152657,1.12,0.013493973422871158,0.9400000000000002,-0.04999999999999982,-0.8189299825577862,0.3352468622362113
2018-06-28,84.35870361328125,0.0,16.850000381469727,1.89,2.84,0.01623719653978184,0.0103122773392234,1.12,0.013276638355353646,0.95,0.009999999999999787,-0.8542586354192463,0.2946804825964469
2018-06-29,83.7718276977539,0.0,16.09000015258789,1.89,2.85,-0.006981222203003665,0.010089613203459203,1.12,0.01336964980686496,0.9600000000000002,0.010000000000000231,-0.87031565248495,0.2655951303847655
2018-07-02,84.47929382324219,0.0,15.600000381469728,1.95,2.87,0.008409694848943184,0.00981786602248623,1.12,0.01325768657990205,0.9200000000000002,0.020000000000000018,-0.876780502955091,0.2468427466551142
2018-07-03,83.2974853515625,0.0,16.139999389648438,1.94,2.83,-0.014088099962392572,0.010180594847076377,1.12,0.013445784050658513,0.8900000000000001,-0.040000000000000036,-0.8825699778782483,0.2675086106245819
2018-07-05,83.83905792236328,0.56,14.970000267028809,1.92,2.84,0.0064806230358254256,0.010316924861830591,1.6800000000000002,0.020038393102600405,0.9199999999999999,0.009999999999999787,-0.8818237287505792,0.22273252336100688
2018-07-06,84.11389923095703,0.0,13.369999885559082,1.93,2.82,0.0032728397115695286,0.008728898060413937,1.6800000000000002,0.019972917857334307,0.8899999999999999,-0.020000000000000018,-0.832484359779169,0.16150020675718246
2018-07-09,86.7166748046875,0.0,12.6899995803833,1.95,2.86,0.030474369306159727,0.011264873129640418,1.6800000000000002,0.01937343658280111,0.9099999999999999,0.040000000000000036,-0.8244205419808646,0.13547646672596267
2018-07-10,86.18318939208984,0.0,12.640000343322754,1.95,2.87,-0.0061710529165097325,0.01127265978769748,1.6800000000000002,0.019493360733690783,0.9200000000000002,0.010000000000000231,-0.8164133276178631,0.13356298648614623
2018-07-11,85.9972915649414,0.0,13.630000114440918,1.93,2.85,-0.002159337671121726,0.01127162053103278,1.6800000000000002,0.019535498960817126,0.9200000000000002,-0.020000000000000018,-0.8210708721400708,0.17145046459233074
2018-07-12,86.36911010742188,0.0,12.579999923706056,1.94,2.85,0.004314287652311822,0.011303390372533336,1.6800000000000002,0.019451398745575756,0.9100000000000001,0.0,-0.82443337665387,0.13126675910215205
2018-07-13,85.97305297851562,0.0,12.18000030517578,1.94,2.83,-0.004596180285028678,0.011326667532381504,1.6800000000000002,0.0195410066503027,0.8900000000000001,-0.020000000000000018,-0.8516852889928416,0.11595869819984386
2018-07-16,89.3841323852539,0.0,12.829999923706056,1.98,2.85,0.038909266634457394,0.013712894040547636,1.6800000000000002,0.0187952822852164,0.8700000000000001,0.020000000000000018,-0.7774062793239446,0.1408343062904186
2018-07-17,89.31948852539062,0.0,12.0600004196167,1.98,2.86,-0.0007234756895636374,0.013708785955087966,1.6800000000000002,0.018808885135100508,0.8799999999999999,0.009999999999999787,-0.777896255230068,0.11136627992915152
2018-07-18,90.15204620361328,0.0,12.100000381469728,1.96,2.88,0.009277946518986413,0.01381527661748728,1.6800000000000002,0.018635184344076107,0.9199999999999999,0.020000000000000018,-0.7734216485383989,0.11289708601938239
